Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,SMA20,Upper Band,Lower Band
2025-10-11,112774.49000000,113322.39000000,109561.59000000,110644.40000000,35448.51652000,2025-10-11 23:59:59.999,3961069473.23113630,6661929,15375.94796000,1718429599.56695220,116418.19350000001,127403.2613167389,105433.12568326111
2025-10-12,110644.40000000,115770.00000000,109565.06000000,114958.80000000,32255.30272000,2025-10-12 23:59:59.999,3638546528.74015580,6048575,16915.44533000,1907676479.17725090,116533.58399999999,127399.87522595773,105667.29277404225
2025-10-13,114958.81000000,115963.81000000,113616.50000000,115166.00000000,22557.24033000,2025-10-13 23:59:59.999,2591831660.98574920,5739352,10710.89723000,1230950583.84246650,116691.94399999999,127370.6667312633,106013.22126873667
2025-10-14,115166.00000000,115409.96000000,109866.00000000,113028.14000000,31870.32974000,2025-10-14 23:59:59.999,3578140778.80849870,7425642,14944.19197000,1677011392.63438070,116678.001,127376.04353403888,105979.95846596113
2025-10-15,113028.13000000,113612.35000000,110164.00000000,110763.28000000,22986.48811000,2025-10-15 23:59:59.999,2569639641.35276860,5243141,10499.31831000,1173678794.92077390,116766.44049999998,127223.56795203015,106309.31304796982
2025-10-16,110763.28000000,111982.45000000,107427.00000000,108194.28000000,29857.17252000,2025-10-16 23:59:59.999,3277596494.76191940,6127094,13126.95119000,1441416875.12637710,116693.9815,127376.57700960567,106011.38599039432
2025-10-17,108194.27000000,109240.00000000,103528.23000000,106431.68000000,37920.66838000,2025-10-17 23:59:59.999,4022645635.22120190,7570685,17996.99946000,1909654487.45622080,116533.77300000002,127745.08353835171,105322.46246164832
2025-10-18,106431.68000000,107499.00000000,106322.20000000,107185.01000000,11123.18766000,2025-10-18 23:59:59.999,1189002999.14311300,2105450,4845.85641000,518065716.66181290,116284.826,128109.05245376946,104460.59954623054
2025-10-19,107185.00000000,109450.07000000,106103.36000000,108642.78000000,15480.66423000,2025-10-19 23:59:59.999,1670074079.58023430,3205640,7100.31013000,766423535.81773780,116001.367,128287.51889690917,103715.21510309083
2025-10-20,108642.77000000,111705.56000000,107402.52000000,110532.09000000,19193.44160000,2025-10-20 23:59:59.999,2119912185.59346830,4283542,9280.50075000,1024925788.72169910,115825.525,128328.09595704402,103322.95404295597
2025-10-21,110532.09000000,114000.00000000,107473.72000000,108297.67000000,37228.01659000,2025-10-21 23:59:59.999,4114477849.93205410,6004063,17034.07155000,1881327751.33461280,115310.65900000001,128175.86918382364,102445.44881617639
2025-10-22,108297.66000000,109163.88000000,106666.69000000,107567.44000000,28610.78451000,2025-10-22 23:59:59.999,3090291706.44398170,5547903,13766.58861000,1487179903.59997880,114662.5635,127725.261748608,101599.86525139201
2025-10-23,107567.45000000,111293.61000000,107500.00000000,110078.18000000,17573.09294000,2025-10-23 23:59:59.999,1924582289.41139380,3721614,8575.33716000,938905317.70341070,114054.87250000001,126760.82918350963,101348.9158164904
2025-10-24,110078.19000000,112104.98000000,109700.01000000,111004.89000000,15005.16913000,2025-10-24 23:59:59.999,1662806764.95333240,3241022,7511.24340000,832390454.80762260,113485.567,125626.62859333736,101344.50540666263
